Time_sec	X_C2H2
3.344	0
5.344	0
7.344	0
11.344	0
13.344	0
15.344	0
17.344	0
19.344	0
21.344	0
23.344	0
25.344	0
29.344	0
31.344	0
33.344	0
35.344	0
37.344	0
39.344	0
41.344	0
43.344	0
47.344	0
49.344	0
51.344	0
53.344	0
55.344	0
57.344	0
59.344	0
63.344	0
65.344	0
67.344	0
69.344	0
71.344	0
73.344	0
75.344	0
77.344	1.07E-05
81.344	2.06E-05
83.344	2.12E-05
85.344	3.21E-05
87.344	2.16E-05
89.344	3.86E-05
91.344	3.77E-05
93.344	3.61E-05
97.344	3.43E-05
99.344	4.24E-05
101.344	3.32E-05
103.344	3.49E-05
105.344	3.36E-05
107.344	3.29E-05
109.344	3.39E-05
113.344	3.29E-05
115.344	3.44E-05
117.344	3.26E-05
119.344	3.26E-05
121.344	3.76E-05
123.344	3.45E-05
127.344	3.10E-05
129.344	2.71E-05
131.344	3.13E-05
133.344	2.36E-05
135.344	2.31E-05
137.344	2.16E-05
139.344	1.82E-05
143.344	1.52E-05
145.344	1.17E-05
147.344	1.78E-05
149.344	1.19E-05
151.344	1.07E-05
153.344	1.40E-05
157.344	1.16E-05
159.344	1.49E-05
161.344	1.05E-05
163.344	1.56E-05
165.344	1.24E-05
167.344	1.41E-05
171.344	1.22E-05
173.344	9.93E-06
175.344	1.38E-05
177.344	1.16E-05
179.344	1.29E-05
183.344	1.41E-05
185.344	1.46E-05
187.344	1.54E-05
189.344	6.74E-06
191.344	1.23E-05
193.344	1.24E-05
197.344	1.14E-05
199.344	1.42E-05
201.344	1.36E-05
203.344	1.28E-05
205.344	9.81E-06
207.344	1.80E-05
211.344	9.43E-06
213.344	1.48E-05
215.344	1.12E-05
217.344	1.15E-05
219.344	7.70E-06
223.344	1.24E-05
225.344	1.34E-05
227.344	1.03E-05
229.344	1.15E-05
231.344	1.07E-05
235.344	9.78E-06
237.344	8.60E-06
239.344	1.38E-05
241.344	1.21E-05
243.344	1.02E-05
247.344	1.24E-05
249.344	9.12E-06
251.344	1.49E-05
253.344	1.04E-05
255.344	1.64E-05
257.344	1.11E-05
261.344	1.40E-05
263.344	9.87E-06
265.344	1.05E-05
267.344	1.31E-05
271.344	1.51E-05
273.344	1.03E-05
275.344	8.74E-06
277.344	1.13E-05
279.344	1.35E-05
283.344	1.14E-05
285.344	9.89E-06
287.344	1.18E-05
289.344	1.15E-05
293.344	1.22E-05
295.344	7.50E-06
297.344	1.29E-05
299.344	1.16E-05
301.344	9.22E-06
305.344	1.43E-05
307.344	8.13E-06
309.344	1.11E-05
311.344	1.46E-05
315.344	1.55E-05
317.344	1.19E-05
319.344	1.26E-05
321.344	8.97E-06
323.344	1.33E-05
327.344	1.22E-05
329.344	1.36E-05
331.344	1.28E-05
333.344	1.20E-05
337.344	1.31E-05
339.344	1.03E-05
341.344	9.93E-06
343.344	8.33E-06
347.344	9.71E-06
349.344	9.92E-06
351.344	7.34E-06
353.344	9.23E-06
357.344	9.30E-06
359.344	1.60E-05
361.344	1.22E-05
365.344	1.13E-05
367.344	1.45E-05
369.344	1.64E-05
371.344	1.52E-05
373.344	1.66E-05
377.344	1.86E-05
379.344	1.54E-05
381.344	1.89E-05
383.344	2.00E-05
387.344	1.37E-05
389.344	1.80E-05
391.344	1.90E-05
393.344	1.75E-05
397.344	1.72E-05
399.344	1.99E-05
