Time_sec	X_C2H2
1.11	0
5.11	0
7.11	0
9.11	0
11.11	0
13.11	0
15.11	0
17.11	0
19.11	0
21.11	0
25.11	0
27.11	0
29.11	0
31.11	0
33.11	0
35.11	0
37.11	0
39.11	0
41.11	0
45.11	0
47.11	0
49.11	0
51.11	0
53.11	3.44E-05
55.11	3.84E-05
57.11	3.90E-05
59.11	4.40E-05
63.11	4.16E-05
65.11	3.71E-05
67.11	4.09E-05
69.11	5.83E-05
71.11	5.35E-05
73.11	5.56E-05
75.11	6.02E-05
79.11	4.80E-05
81.11	6.85E-05
83.11	7.86E-05
85.11	6.70E-05
87.11	5.27E-05
89.11	3.80E-05
93.11	3.52E-05
95.11	3.92E-05
97.11	3.01E-05
99.11	2.30E-05
101.11	2.50E-05
103.11	2.31E-05
107.11	2.11E-05
109.11	2.27E-05
111.11	1.96E-05
113.11	2.13E-05
115.11	1.92E-05
117.11	1.42E-05
121.11	1.75E-05
123.11	1.69E-05
125.11	1.95E-05
127.11	1.85E-05
129.11	2.17E-05
131.11	1.86E-05
135.11	2.14E-05
137.11	1.91E-05
139.11	1.59E-05
141.11	1.36E-05
143.11	1.16E-05
147.11	1.33E-05
149.11	1.28E-05
151.11	1.50E-05
153.11	1.50E-05
155.11	1.63E-05
157.11	1.31E-05
161.11	1.35E-05
163.11	1.43E-05
165.11	1.73E-05
167.11	1.17E-05
169.11	1.65E-05
173.11	1.38E-05
175.11	1.22E-05
177.11	1.32E-05
179.11	1.69E-05
181.11	1.32E-05
185.11	1.33E-05
187.11	8.78E-06
189.11	1.24E-05
191.11	1.07E-05
193.11	1.33E-05
197.11	1.26E-05
199.11	1.21E-05
201.11	9.91E-06
203.11	1.17E-05
205.11	1.09E-05
209.11	2.01E-05
211.11	1.80E-05
213.11	1.98E-05
215.11	2.07E-05
217.11	2.54E-05
221.11	3.13E-05
223.11	3.78E-05
225.11	4.39E-05
227.11	5.22E-05
231.11	6.92E-05
233.11	9.43E-05
235.11	0.000115171
237.11	0.000159878
239.11	0.000222678
243.11	0.000322178
245.11	0.00038199
247.11	0.000443785
249.11	0.000484112
251.11	0.000519634
255.11	0.000548316
257.11	0.000591944
259.11	0.000600774
261.11	0.000608342
265.11	0.000619126
267.11	0.000636141
269.11	0.00066041
271.11	0.000691413
273.11	0.000702442
277.11	0.000715174
279.11	0.000699356
281.11	0.0006689
283.11	0.000640693
287.11	0.000612741
289.11	0.00060153
291.11	0.000588647
293.11	0.000527481
297.11	0.000472858
299.11	0.000403592
301.11	0.000330602
303.11	0.000260869
307.11	0.00019722
309.11	0.00015407
311.11	0.000118062
313.11	8.58E-05
317.11	6.22E-05
319.11	4.78E-05
321.11	3.95E-05
323.11	3.14E-05
327.11	2.56E-05
329.11	2.62E-05
331.11	2.05E-05
333.11	1.97E-05
337.11	0
339.11	0
341.11	0
345.11	0
347.11	0
349.11	0
351.11	0
355.11	0
357.11	0
359.11	0
361.11	0
365.11	0
367.11	0
369.11	0
371.11	0
375.11	0
377.11	0
379.11	0
381.11	0
385.11	0
387.11	0
389.11	0
391.11	0
395.11	0
397.11	0
399.11	0
403.11	0
405.11	0
407.11	0
409.11	0
413.11	0
415.11	0
417.11	0
421.11	0
423.11	0
425.11	0
427.11	0
431.11	0
433.11	0
435.11	0
439.11	0
441.11	0
443.11	0
447.11	0
449.11	0
451.11	0
455.11	0
457.11	0
459.11	0
463.11	0
465.11	0
467.11	0
469.11	0
473.11	0
475.11	0
477.11	0
481.11	0
483.11	0
485.11	0
489.11	0
491.11	0
493.11	0
