Time_sec	X_HCN
0.22	0
2.22	0
4.22	0
6.22	0
8.22	0
10.22	0
12.22	0
16.22	0
18.22	0
20.22	0
22.22	0
24.22	0
26.22	0
28.22	0
30.22	0
32.22	0
36.22	0
38.22	0
40.22	0
42.22	0
44.22	0
46.22	0
48.22	0
52.22	0
54.22	0
56.22	0
58.22	0
60.22	0
62.22	0
64.22	0
68.22	0
70.22	0
72.22	0
74.22	0
76.22	0
78.22	0
80.22	0
82.22	0
86.22	0
88.22	0
90.22	0
92.22	0
94.22	0
96.22	0
98.22	0
102.22	0
104.22	0
106.22	0
108.22	0
110.22	0
112.22	0
116.22	0
118.22	0
120.22	0
122.22	0
124.22	0
126.22	0
130.22	0
132.22	0
134.22	0
136.22	0
138.22	0
140.22	0
144.22	0
146.22	0
148.22	0
150.22	0
152.22	0
154.22	0
156.22	0
160.22	0
162.22	0
164.22	0
166.22	0
168.22	0
172.22	0
174.22	0
176.22	0
178.22	0
180.22	0
182.22	0
186.22	0
188.22	0
190.22	0
192.22	0
194.22	0
198.22	0
200.22	0
202.22	0
204.22	0
206.22	0
208.22	0
212.22	0
214.22	0
216.22	0
218.22	0
220.22	0
224.22	0
226.22	0
228.22	0
230.22	0
232.22	0
236.22	0
238.22	0
240.22	0
242.22	0
246.22	0
248.22	0
250.22	0
252.22	0
254.22	0
258.22	0
260.22	0
262.22	0
264.22	0
266.22	0
270.22	0
272.22	0
274.22	0
276.22	0
278.22	0
282.22	0
284.22	0
286.22	0
288.22	0
292.22	0
294.22	0
296.22	0
298.22	0
302.22	0
304.22	0
306.22	0
308.22	0
312.22	0
314.22	0
316.22	0
318.22	0
322.22	0
324.22	0
326.22	0
328.22	0
330.22	0
334.22	0
336.22	0
338.22	0
340.22	0
344.22	0
346.22	0
348.22	0
350.22	0
354.22	0
356.22	0
358.22	0
360.22	0
364.22	0
366.22	0
368.22	0
370.22	0
374.22	0
376.22	0
378.22	0
382.22	0
384.22	0
386.22	0
388.22	0
392.22	0
394.22	0
396.22	0
398.22	0
402.22	0
404.22	0
406.22	0
410.22	0
412.22	0
414.22	0
416.22	0
420.22	0
422.22	0
424.22	0
428.22	0
430.22	0
432.22	0
434.22	0
438.22	0
440.22	0
442.22	0
446.22	0
448.22	0
450.22	0
452.22	0
456.22	0
458.22	0
460.22	0
464.22	0
466.22	0
468.22	0
472.22	0
