Time_sec	X_CO
36.326	1.23E-05
77.326	1.76E-05
117.326	4.55E-05
158.326	6.36E-05
199.326	6.46E-05
239.326	5.53E-05
279.326	6.55E-05
320.326	0.000126283
360.326	0.000188713
401.326	0.000259398
442.326	0.000233048
482.326	0.000242402
523.326	0.000282879
563.326	0.000219178
604.326	0.000218841
645.326	0.000224638
685.326	0.000260869
725.326	0.000367514
766.326	0.000409084
806.326	0.000404807
847.326	0.00028002
888.326	0.000150786
929.326	0.000106577
969.326	0.00013859
1009.326	0.000188269
1050.326	0.000219027
1091.326	0.00016789
1131.326	0.000111718
1172.326	9.40E-05
1212.326	8.91E-05
