Time_sec	X_C2H2
0.266	0
2.266	0
4.266	0
6.266	0
10.266	0
12.266	0
14.266	0
16.266	0
18.266	0
20.266	0
22.266	0
24.266	0
26.266	0
30.266	0
32.266	0
34.266	0
36.266	0
38.266	0
40.266	0
42.266	0
44.266	0
46.266	0
50.266	0
52.266	0
54.266	0
56.266	0
58.266	0
60.266	0
62.266	0
64.266	0
68.266	0
70.266	0
72.266	0
74.266	0
76.266	5.37E-05
78.266	5.80E-05
80.266	6.63E-05
82.266	7.77E-05
86.266	8.36E-05
88.266	8.24E-05
90.266	8.51E-05
92.266	8.19E-05
94.266	7.58E-05
96.266	7.40E-05
98.266	6.77E-05
100.266	6.29E-05
104.266	5.77E-05
106.266	5.54E-05
108.266	5.65E-05
110.266	5.06E-05
112.266	4.79E-05
114.266	4.25E-05
118.266	5.11E-05
120.266	5.12E-05
122.266	6.04E-05
124.266	5.81E-05
126.266	6.32E-05
128.266	6.71E-05
132.266	7.11E-05
134.266	8.06E-05
136.266	8.63E-05
138.266	0.000107293
140.266	0.000126364
142.266	0.000138365
144.266	0.000162301
146.266	0.000167249
150.266	0.00017899
152.266	0.000176814
154.266	0.000152543
156.266	0.000134524
158.266	0.000116621
160.266	9.46E-05
164.266	7.65E-05
166.266	7.15E-05
168.266	5.28E-05
170.266	4.74E-05
172.266	3.85E-05
174.266	3.19E-05
178.266	2.56E-05
180.266	1.73E-05
182.266	2.28E-05
184.266	1.68E-05
186.266	1.40E-05
188.266	1.92E-05
192.266	1.90E-05
194.266	1.23E-05
196.266	1.77E-05
198.266	1.84E-05
200.266	1.74E-05
202.266	1.79E-05
204.266	1.82E-05
208.266	1.78E-05
210.266	2.00E-05
212.266	2.35E-05
214.266	2.62E-05
216.266	3.18E-05
218.266	3.43E-05
222.266	3.62E-05
224.266	3.79E-05
226.266	4.42E-05
228.266	5.04E-05
230.266	5.53E-05
234.266	5.95E-05
236.266	6.41E-05
238.266	6.78E-05
240.266	8.02E-05
242.266	8.60E-05
246.266	9.10E-05
248.266	9.05E-05
250.266	0.00010033
252.266	0.00011645
254.266	0.000121456
258.266	0.000136272
260.266	0.000145296
262.266	0.000173612
264.266	0.000202021
266.266	0.000248563
268.266	0.000284242
