Time_sec	X_CO2
10.266	0.005398949
50.266	0.006078602
91.266	0.008822947
131.266	0.018466373
172.266	0.025605026
212.266	0.032364528
253.266	0.03996836
294.266	0.049151386
334.266	0.050753609
374.266	0.053594567
415.266	0.053264502
456.266	0.054186006
497.266	0.054555442
537.266	0.05490117
577.266	0.058875989
618.266	0.059100241
659.266	0.058618611
699.266	0.058909127
739.266	0.059393816
780.266	0.059286189
821.266	0.05871868
862.266	0.062196442
902.266	0.06325813
942.266	0.060058531
983.266	0.051636374
1024.266	0.047564267
1065.266	0.043442396
1105.266	0.039350457
1145.266	0.035529195
1186.266	0.032452216
1227.266	0.02707052
1267.266	0.025767066
1307.266	0.024702107
